candidate_id,candidate_name,candidate_type,source,source_url,public_ownership_evidence,coordinate_basis,name_key,duplicate_of,country_boundary_flag,distance_to_fds_km,rank_by_distance,label,elevation_m,slope_deg,nearest_mapped_road_km,nearest_track_km,nearest_waterway_km,nearest_mapped_road_name,nearest_road_surface,nearest_road_access_tag,straightline_waterway_intersections,within_fds_5km,site_id,fds_name,state,longitude,latitude,feasibility
OSM_way/697392548,Unnamed school,school,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/way/697392548,ownership not recorded; verify,OSM point or point on mapped facility footprint,UNNAMEDSCHOOL,NA,within Malaysia or boundary tolerance,9.455670472196859,7,C07,11.982183456420898,1.3758301734924316,0.07791261814642238,3.734084180906932,0.16007627036064304,,,,1,FALSE,S034,"RH. SARI, SG IRAN SONG",SARAWAK,112.49622548314268,2.0232819921994403,Candidate for field review; conversion suitability unverified
OSM_way/1435023769,Dewan Serbaguna Bawang Assan,community_centre,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/way/1435023769,ownership not recorded; verify,OSM point or point on mapped facility footprint,DEWANSERBAGUNABAWANGASSAN,NA,within Malaysia or boundary tolerance,7.486248747444706,1,C01,5.266144752502441,1.3638497591018677,0.034032525386142785,1.5454277146741744,0.6529853477249867,,,,4,FALSE,S049,LONG KEBUHO,SARAWAK,111.67929208189841,2.316706952767361,Candidate for field review; conversion suitability unverified
K0193,Klinik Kesihatan Bawang Assan,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=1889,health-facility register; confirm property and operating status,supplied register coordinates,BAWANGASSAN,NA,within Malaysia or boundary tolerance,8.958949076263853,2,C02,6.2732977867126465,1.1314033269882202,0.006798203982294826,2.3663258296356364,1.3006535867329925,,,,2,FALSE,S049,LONG KEBUHO,SARAWAK,111.685774,2.302766,Candidate for field review; conversion suitability unverified
K0353,Klinik Kesihatan Lusong Laku,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2397,health-facility register; confirm property and operating status,supplied register coordinates,LUSONGLAKU,NA,within Malaysia or boundary tolerance,0.8553256835083517,1,C01,387.50445556640625,5.626222610473633,0.043250389719256675,1.6779313274794407,0.2861095097110914,,,,0,TRUE,S052,LUSONG LAKU,SARAWAK,114.250335,2.463398,Candidate for field review; conversion suitability unverified
OSM_node/3343130210,SK Long Lellang,school,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/node/3343130210,ownership not recorded; verify,OSM point or point on mapped facility footprint,LONGLELLANG,NA,within Malaysia or boundary tolerance,9.183805920657559,1,C01,473.0361633300781,1.4413790702819824,0.172664789966459,NA,0.10247204272878113,,,,1,FALSE,S057,LONG KELIAN,SARAWAK,115.1531313,3.418239599999999,Candidate for field review; conversion suitability unverified
K0337,Klinik Kesihatan Long Lellang,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2371,health-facility register; confirm property and operating status,supplied register coordinates,LONGLELLANG,NA,within Malaysia or boundary tolerance,9.313844534336281,2,C02,470.0887756347656,2.3461546897888184,0.014377251002136889,NA,0.10000490109608585,,,,1,FALSE,S057,LONG KELIAN,SARAWAK,115.153885,3.420979,Candidate for field review; conversion suitability unverified
K0424,Klinik Kesihatan Pa' Dallih,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2513,health-facility register; confirm property and operating status,supplied register coordinates,PADALLIH,NA,within Malaysia or boundary tolerance,2.8277546546460264,1,C01,966.11248779296875,1.210023283958435,0.025858150825569293,1.614678481344696,0.22448106649668648,,,,1,TRUE,S060,RAMUDU,SARAWAK,115.553627,3.5673089999999994,Candidate for field review; conversion suitability unverified
K0519,Klinik Kesihatan Tang Lapadan,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2856,health-facility register; confirm property and operating status,supplied register coordinates,TANGLAPADAN,NA,within Malaysia or boundary tolerance,3.013339784152505,2,C02,970.78216552734375,5.072885036468506,0.0037655645432318184,1.7377877353320543,0.1009633240292826,,,,1,TRUE,S060,RAMUDU,SARAWAK,115.55308299999999,3.5689669999999993,Candidate for field review; conversion suitability unverified
K0328,Klinik Kesihatan Long Banga,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2362,health-facility register; confirm property and operating status,supplied register coordinates,LONGBANGA,NA,within Malaysia or boundary tolerance,3.7721495636672038,1,C01,434.2882995605469,2.0271427631378174,0.03563719798842387,3.0654676692158316,0.1413439734841342,,,,1,TRUE,S063,LONG LAMAI,SARAWAK,115.39137,3.2055099999999994,Candidate for field review; conversion suitability unverified
K0347,Klinik Kesihatan Long Seridan,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2381,health-facility register; confirm property and operating status,supplied register coordinates,LONGSERIDAN,NA,within Malaysia or boundary tolerance,7.884595283420637,1,C01,205.5807647705078,9.60651683807373,0.045477297795989045,0.5301244589076245,0.21278658464250227,,,,2,FALSE,S072,LONG BALAU,SARAWAK,115.069158,3.9739110000000006,Candidate for field review; conversion suitability unverified
